Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
Eagle Air Lines	6	26	30	41	63	67	0	0	5	5	0	0	0
East Coast Air	0	0	0	0	0	0	0	0	4	4	0	0	0
Easter Island Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Eastern African Airways	0	0	3	3	3	0	0	0	0	0	0	0	0
EASTERN AIR	0	0	0	0	0	0	0	0	0	0	0	0	0
Eastern Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
easyAir	0	0	0	0	0	0	0	0	0	0	0	0	0
ECMA	0	0	0	0	0	0	0	0	0	0	0	0	0
Edmaity	0	0	0	4	23	25	0	0	15	20	23	23	23
Edmaity Air	0	0	0	0	10	13	0	0	12	13	13	0	0
Egypt Air	58	59	60	60	60	60	60	0	0	0	0	0	0
eightsevenairline	0	0	0	0	38	38	0	0	0	0	0	0	0
El Al	0	0	0	0	0	0	0	0	0	0	0	0	0
Emerald	0	0	0	0	0	0	0	0	4	4	4	4	4
Emirates	0	0	0	0	0	0	2	0	0	0	0	0	0
Empire Airlines	293	306	359	380	380	380	0	0	0	0	0	0	0
Empress Link	0	0	0	0	0	0	0	0	18	9	9	9	9
Endeavor	93	101	100	107	128	118	128	0	20	59	91	102	104
Enterprise Airforce	0	0	0	0	0	0	0	0	0	0	0	1	3
Etihad Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu int	0	0	0	0	0	0	0	0	0	0	0	0	0
Europae	0	0	0	0	0	22	54	0	0	0	0	0	0
Europair	36	38	41	41	48	48	51	0	0	0	0	0	0
Europe Air	29	33	37	38	0	0	0	0	0	0	0	0	0
Europe Eastern	0	0	0	0	0	8	39	0	0	0	0	0	0
European Aer	0	0	0	0	0	0	0	0	2	2	0	0	0
European Star Airways	0	0	0	0	1	1	0	0	0	0	0	0	0
Eurowings	25	25	0	0	0	0	0	0	0	0	0	0	0
EVA Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Evorion airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Exotic Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
ExtraVirgin Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
Fall Down Airways	0	0	0	0	0	0	0	0	12	25	31	34	36
FallDown Airways	15	17	20	23	0	30	55	0	0	0	0	0	0
Faraway Air	0	0	0	0	0	0	18	0	0	0	0	0	0
Feather Air	4	4	4	0	0	0	0	0	0	0	0	0	0
feelsliner	42	42	0	0	0	0	0	0	0	0	0	0	0
FijiAir	25	26	26	28	29	28	28	0	21	37	46	43	64
Finnair	6	0	0	0	0	0	0	0	25	50	57	57	57
Five Starlux	0	0	0	0	0	0	0	0	0	0	59	59	59
Flair	0	0	0	0	0	0	0	0	0	0	0	0	0
Floridian	0	0	0	0	0	0	0	0	0	21	65	107	120
Fly CBC	0	0	0	0	0	0	26	0	0	0	0	0	0
Fly Global	0	0	0	0	0	0	0	0	0	0	0	0	0
Fly Good	0	0	0	0	0	13	65	0	0	0	0	0	0
Fly Mumbai	0	0	0	0	0	0	0	0	0	0	0	0	0
Fly Pooxle	29	14	19	36	85	89	109	0	13	13	0	0	0
Fly Sahel	0	0	0	0	0	4	29	0	0	0	0	0	0
Fly Viking	0	0	0	0	0	0	6	0	0	0	0	0	0
Fly Whitney	14	19	24	15	7	10	10	0	10	34	0	14	17
FlyAir	5	5	0	0	0	0	0	0	0	0	0	0	0
FlyCorsica	0	0	0	0	0	0	0	0	4	0	0	0	0
Flyfly	9	9	13	13	17	17	18	0	0	0	0	0	0
Flying Bacon Airways	162	180	187	192	107	109	110	0	0	0	0	0	0
Flying Guacamole	0	0	0	0	0	0	0	0	0	0	0	0	0
Flying Munchkin	16	16	0	0	0	0	0	0	0	0	0	0	0
Flying on The Moon	66	72	80	40	41	41	41	0	0	0	0	0	0
Flying Sheep Airlines	0	0	0	0	0	0	0	0	19	41	64	77	82
flyme	0	0	0	0	0	0	0	0	0	0	0	0	0
Flynor	4	7	11	11	17	17	0	0	0	0	0	0	0
Flyr	88	88	0	0	0	0	0	0	0	0	0	0	0
FlyWithMe	0	0	0	0	33	43	43	0	0	0	0	0	0
FO Airlines	0	0	4	0	0	0	0	0	0	0	0	0	0
From Door to Door Airways	40	53	69	80	125	134	159	0	0	0	0	0	0
Frontier Airways	0	0	0	0	0	0	0	0	6	0	0	0	0
Funky Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabacho	0	0	0	0	0	0	0	0	0	17	38	38	38
Galactair	28	34	45	51	65	66	67	0	0	0	4	9	9
Garuda Indonesia	0	0	0	0	0	0	0	0	22	32	38	54	54
Garuda International	0	0	0	0	0	0	0	0	42	84	118	142	151
Gator Air	0	0	0	0	0	0	0	0	18	0	0	0	0
Gator Raid	0	0	0	0	0	0	0	0	0	87	167	206	222
GDI Air	19	16	23	31	46	53	59	0	11	25	51	59	59
Gekko	0	0	0	0	0	0	0	0	0	34	37	37	37
Gibbs Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
Giggity Giggity	50	54	59	60	0	0	0	0	0	0	0	0	0
Gliding Goat Airlines	0	0	9	10	0	0	0	0	0	0	0	0	0
Global Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Global Express	0	0	0	0	39	53	61	0	9	20	33	42	42
Global Express Airways	0	0	0	0	25	29	31	0	0	0	0	0	0
Global Red Airways	0	0	0	0	0	0	5	0	0	0	0	0	0
Glorious Chicken	481	544	665	689	670	670	670	0	27	94	151	168	168
Go Big or Go Home	24	24	24	24	0	0	0	0	0	0	0	0	0
Going Merry	25	27	0	0	0	0	0	0	0	0	0	0	0
Gol Linhas Aereas	0	0	0	13	61	61	0	0	0	0	0	0	0
Golden Air	0	0	0	15	82	107	128	0	0	0	0	0	0
Golden Pacific Transit	5	5	5	7	0	0	0	0	0	0	0	0	0
Golden State Airways	0	0	0	0	0	0	0	0	27	52	79	100	104
Goldfinch Air	0	0	0	0	0	0	0	0	24	45	45	45	0
Gondor Air	0	0	0	0	0	0	0	0	0	9	43	75	81
good	0	0	0	0	0	0	0	0	0	0	3	3	3
Goose Feathers	125	133	156	165	185	185	187	0	0	0	0	0	0
Grand China Air	0	0	0	0	0	0	0	0	29	56	0	0	0
Grape Adventures Airways	43	48	59	63	67	70	16	0	21	37	45	45	47
Grauvolf Expeditionary Fleet	0	0	0	0	0	0	0	0	0	0	0	0	0
Grauvolf Exploratory Fleet	0	0	0	0	0	0	0	0	0	0	0	0	0
Grauvolf Transport	0	0	0	0	13	20	36	0	0	0	0	0	0
Great Lakes Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Grogair	0	0	0	0	9	9	15	0	0	0	1	1	1
Gulf Air	35	2	2	15	0	0	0	0	0	0	0	0	0
GullivAir	0	0	0	0	0	0	0	0	9	22	32	11	5
Hainan Airlines	0	0	0	0	0	0	0	0	33	98	152	172	172
Hakata Airways	0	0	0	0	1	1	0	0	0	0	0	0	0
Harrier Africa	0	0	0	0	0	0	0	0	0	0	0	0	0
Harrier Airlines	0	0	0	0	0	0	8	0	0	0	0	0	0
Harrier American Airlines	0	0	0	0	0	0	0	0	6	20	27	26	26
Harrier Canada	0	0	0	0	0	0	0	0	0	0	6	0	0
Harrier Far East	0	0	0	0	0	0	0	0	0	0	4	4	4
Harrier Iceland	0	0	0	0	0	0	0	0	2	6	12	13	13
Harrier Oceania	0	0	0	0	0	0	0	0	0	0	3	5	5
Harz Roller	0	2	2	0	0	0	0	0	0	0	0	0	0
Hawaii Airlines	0	0	0	0	4	4	0	0	0	0	0	0	0
Hehshs	0	0	0	0	0	0	0	0	0	0	0	0	0
hhiihhii	0	1	1	1	0	0	0	0	0	0	0	0	0
Himmelbahn	0	0	0	0	0	0	17	0	0	0	0	0	0
Hogwarts Express	121	132	154	188	225	232	248	0	0	0	0	0	0
Hooters Air	231	250	275	269	302	327	322	0	0	0	0	0	0
Hop Air	0	0	0	0	19	34	53	0	1	1	0	0	0
Horizon	0	0	0	0	0	0	0	0	28	43	52	56	56
Hot Air	0	0	0	0	0	0	0	0	36	84	165	212	214
I know what you are doing	0	0	0	0	0	0	0	0	0	0	0	0	0
Iberia	0	0	0	0	0	0	0	0	0	0	0	0	0
Iberia Lineas Aereas de Espana	0	0	0	0	0	45	88	0	0	0	0	0	0
iFly Germany	16	23	10	10	0	0	0	0	0	0	0	0	0
IKEA Airlines	4	4	4	0	0	0	0	0	0	0	0	0	0
Imperial Skyways	0	0	0	0	0	0	0	0	0	0	0	0	0
ImperialEX	641	691	762	887	1022	1022	0	0	0	0	0	0	0
Imprimamos dinero	0	0	0	0	0	0	0	0	0	0	0	0	0
INACTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0
Independiente Aviation	4	4	0	0	0	0	0	0	0	0	0	0	0
Indigo	0	0	0	0	0	16	18	0	44	106	157	197	212
Infinity Air	242	396	398	402	341	337	0	0	0	0	0	0	0
Inteligent Air	0	0	0	0	0	0	0	0	17	19	8	13	13
IntelligentAir	6	16	21	24	32	32	0	0	0	0	0	0	0
International Airlines Group	0	0	0	2	5	5	4	0	4	4	0	0	0
